position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
1,Giardino D'Oriente,4.2,6.0,Negozio,"Marzaria del Capitello, 4918, 30122 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 19:30,ChIJGdKRYV6xfkcR_hLaTuPl5xk,"{'latitude': 45.436461699999995, 'longitude': 12.337006599999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz79h64uwkZbdPSAjTXYM-nvupD9otq_yrNUXPyHdmK_Wjisik-5A_oBjjafXmgKj5uWNh9mD2DJzXf1G_eWNmAN5MvwjD309IDHL6D0qh15Rdt-BKSJqv9J9TrKSja30FK3Iq5B1bkHQw=w122-h92-k-no,
2,Palazzo Soranzo Cappello,4.4,135.0,Sito storico,"Ramo Quinto Gallion O del Pezzetto, 770, 30100 Venezia VE, Italia",,ChIJmYOzRyuwfkcRp-F2Z4Hjqi8,"{'latitude': 45.439688499999995, 'longitude': 12.3241888}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwlvcKmDwvftrMgt-7g3F1ZBA6vec0uzSouCP0tfztZfZNDQaHTd2YACdml_R4GpQwHVqaYFMo08EMOH1hJb67BwOGvyZ1a6iJBcC38FkevSES6Q5iPioXAykpo-DEZdvG_nkc=w80-h106-k-no,
3,Da Lorenzo – Al Giardino Segreto,5.0,17.0,Ristorante,"Fondamenta Madona de l'Orto, 3500, 30121 Venezia VE, Italia",Chiuso ⋅ Apre mar alle ore 19,ChIJI8g-DSyxfkcR8l-sl6rvL6k,"{'latitude': 45.4465565, 'longitude': 12.3311806}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy70IbOJFSQkUzyAXPYYXSaQ-FW01sVhJN0E-RKBrkiQWypEAvbUfIMDsTfeDWDIzuvb1ko9TXg4XZ0ZveMOxXxck3UD_qyNrbctteG6fBpvE-2NTAikO8XwMd4C3YgWGHPhXx9Jz3AP8fT=w80-h106-k-no,
4,Giardino Segreto della Sinagoga Spagnola,4.1,7.0,Destinazione religiosa,"Calle del Forno, 1107, 30121 Venezia VE, Italia",,ChIJ7wZvXKGxfkcROQJ9nKbOeow,"{'latitude': 45.444786099999995, 'longitude': 12.325282099999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzxDSuyxIzWPJeY6qSxCBkEU2X-ziA90TATpIZrQ_brdYXSe9rkdb1a44GtHj03PRY_tTffaZiixTlLYmo9ho4whj1bdyJH9jMp64qhBqcrKVRow-9bPYulVkujJ1cBbNY0BqA=w122-h92-k-no,
5,Sala Giardino,4.5,40.0,Cinema,"Lungomare Guglielmo Marconi, 1861, 30126 Lido VE, Italia",,ChIJeVsyLqOvfkcRm-5PPzojOOU,"{'latitude': 45.406793199999996, 'longitude': 12.368824499999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzGitKi5iac3cmPydyxV_szgPJgyb25lPcitvh21bcFwuzvDJWSW5ONXf3O-EUWtZAfUJTrtK0QYQfWS8LwFca6yL1HaauZHCXOwq8UECuUzWbTGuYvVEfSy5a8REEpQQ41OZc=w92-h92-k-no,
6,II Giardino dell'Eden,,,Appartamento vacanze,"Fondamenta del Ponte Piccolo, Giudecca 317/A, 30133 Venezia VE, Italia",,ChIJs-xIzH2xfkcRWTOCZODQb9k,"{'latitude': 45.426093099999996, 'longitude': 12.3276794}",,https://lh3.googleusercontent.com/p/AF1QipPz4PLdhcMdOFky77CyLpHyckeL8n9fyrGKXJ_T=w122-h92-k-no,
7,Ca Giardino - Venetian Family,5.0,1.0,Appartamento vacanze,"Calle Scuola, 30133 Venezia VE, Italia",,ChIJ7S3LS7WxfkcRQvJ4vnQWS6M,"{'latitude': 45.4282952, 'longitude': 12.3135666}",,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFFu7gP0iv4JaHngQ1JAgzSSMYSM7aasEA4MgbX8ubHgMoC0mh7ohqSagXhndHR-buz0OZT2zWR6YGX0UxGWnGmu14Oo40vEdzMa2-5pkOJtvFL4Sm9NL-qoxGDX2uDyICrZ0aUSfPnZRWjryHSil8cOfDE_qw42LJIcAXIm6cHlDfFAzozEvSW=w80-h106-k-no,
8,Padiglione Centrale,4.5,1285.0,Museo d'arte,"Calle Dietro Il Paludo, 849, 30122 Venezia VE, Italia",Chiuso ⋅ Apre mar alle ore 10,ChIJXyc-LTGufkcRyp3JvWmQsrQ,"{'latitude': 45.429781, 'longitude': 12.3586741}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyvyxnX4GlxkzswT9thOhoKs3zlJffOdig9YeeZ_UcHbrw4ir88DBhHEjqco0x423CISKi-tq7MWWupbRVJR_BfX4mvAzK5UnLNe1zZcNkbLwN-uQIXkZeZnGxF-0FbRNt8WTxTQw=w122-h92-k-no,
9,Panchina A.Nulli,5.0,6.0,Giardino,"Fondamenta S. Biagio, 783, 30133 Venezia VE, Italia",,ChIJC8-cKQCxfkcROXowD-sZ4rA,"{'latitude': 45.427399699999995, 'longitude': 12.322710299999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTew7psnQuril3l4qDEHXAaj5P2CfcRVSPiG733X88Pnblj40ks9njTRcc_Ec5WFLn0iDWQlkIemEyVGuG_avSvj_iTEbAfuuWCUgsqQcHcw3c2OIT55CN6t2Fec1awsXcLkDdNdaL7rtl=w122-h92-k-no,
10,IL GIARDINO DI ANNA- appartamenti con giardino privato,,,Casa per vacanze,"Calle de la Misericordia, 386, 30121 Venezia VE, Italia",,ChIJryXi8BqxfkcRJfTp7hW5SNQ,"{'latitude': 45.4429878, 'longitude': 12.3220324}",,https://lh3.googleusercontent.com/p/AF1QipN-XJ2IVCt8AqZBzXtqYsxGLpoDQGDTLUB7JKfa=w80-h106-k-no,
